T1;T2 ;Object;Weight
-450255;-537002;Газификатор;110.14
-450779;-536979;Газификатор;110.14
-450598;-536941;Газификатор;110.14
-121583;-149467;Хладис;27.78
-121468;-149293;Хладис;27.78
-121644;-149305;Хладис;27.78
-227072;-279158;Хладис+6 бутылок;54.82
-227283;-279056;Хладис+6 бутылок;54.82
-227094;-279363;Хладис+6 бутылок;54.82
-82151;-116007;Палета1;19.04
-81306;-116629;Палета1;19.04
-81576;-116434;Палета1;19.04
-109027;-141701;Палета1+брусок1;25.24
-108808;-141872;Палета1+брусок1;25.24
-108567;-142052;Палета1+брусок1;25.24
-164050;-194413;Палета1+брусок1+2бруска;37.76
-164059;-194414;Палета1+брусок1+2бруска;37.76
-163762;-194747;Палета1+брусок1+2бруска;37.76
